iter	Accuracy	Logloss
418	0.9898989899	0.04974441332
419	0.9898989899	0.04956797618
420	0.9898989899	0.04944124067
421	0.9898989899	0.04941158352
422	0.9898989899	0.04932099121
423	0.9898989899	0.04932083531
424	0.9898989899	0.04927944404
425	0.9898989899	0.0492446439
426	0.9898989899	0.04913311542
427	0.9898989899	0.0491260195
428	0.9898989899	0.04896951341
429	0.9898989899	0.04891951566
430	0.9898989899	0.0488229699
431	0.9898989899	0.04878229284
432	0.9898989899	0.04857213111
433	0.9898989899	0.04842819624
434	0.9898989899	0.04827827137
435	0.9898989899	0.04824791989
436	0.9898989899	0.04819252098
437	0.9898989899	0.04816999017
438	0.9898989899	0.04796770589
439	0.9898989899	0.04787668169
440	0.9898989899	0.04784182895
441	0.9898989899	0.04781828888
442	0.9898989899	0.04778137586
443	0.9898989899	0.04775893155
444	0.9898989899	0.04764793511
445	0.9898989899	0.04760509063
446	0.9898989899	0.04745057972
447	0.9898989899	0.04739231443
448	0.9898989899	0.04722761472
449	0.9898989899	0.04722166367
450	0.9898989899	0.04720185213
451	0.9898989899	0.04718928423
452	0.9898989899	0.04710530302
453	0.9898989899	0.04708252197
454	0.9898989899	0.04704249281
455	0.9898989899	0.04696393254
456	0.9898989899	0.04690427385
457	0.9898989899	0.04681776311
458	0.9898989899	0.04680028535
459	0.9898989899	0.04678784316
460	0.9898989899	0.04670147614
461	0.9898989899	0.04657570917
462	0.9898989899	0.04637717397
463	0.9898989899	0.04617311404
464	0.9898989899	0.04609349836
465	0.9898989899	0.04589211725
466	0.9898989899	0.04580282391
467	0.9898989899	0.04578803163
468	0.9898989899	0.04575618567
469	0.9898989899	0.04560581836
470	0.9898989899	0.04545437182
471	0.9898989899	0.04523506291
472	0.9898989899	0.04519111308
473	0.9898989899	0.04499079252
474	0.9898989899	0.04488269021
475	0.9898989899	0.04484547504
476	0.9898989899	0.04482778155
477	0.9898989899	0.04476481265
478	0.9898989899	0.0447438074
479	0.9898989899	0.04474109466
480	0.9898989899	0.04472836553
481	0.9898989899	0.04470573639
482	0.9898989899	0.04463658406
483	0.9898989899	0.04445344094
484	0.9898989899	0.04421310434
485	0.9898989899	0.04418547946
486	0.9898989899	0.04415876268
487	0.9898989899	0.04413680773
488	0.9898989899	0.04391423412
489	0.9898989899	0.04388665757
490	0.9898989899	0.04377963982
491	0.9898989899	0.04343564067
492	0.9915824916	0.04332422154
493	0.9915824916	0.0432946872
494	0.9915824916	0.0432648749
495	0.9915824916	0.04299706914
496	0.9915824916	0.04298381816
497	0.9915824916	0.04295368266
498	0.9915824916	0.04295088967
499	0.9915824916	0.04282018304
